Subject ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ILH_Zvejnieki_34.1.9_merged_mirror.mrk	-0.0185714	0.00756187	0.0148305	0.0168459	0.00976519	-0.0276315	-0.00583812	-0.0334347	-0.00936855	0.00335288
ILH_Zvejnieki_34.10.39_miss.mrk	-0.0621057	0.316929	0.0370396	0.0232197	-0.0360577	0.0016086	0.0110855	-0.01339	-0.00992902	0.00474857
ILH_Zvejnieki_34.101.206_miss_mirror.mrk	-0.0272393	-0.0348965	-0.0108077	0.0659628	-0.0224095	-0.00848848	0.028269	-0.00988898	0.0027439	0.00462444
ILH_Zvejnieki_34.102.208_miss_mirror.mrk	-0.0138441	-0.00760844	-0.0206842	0.0361213	-0.0139649	-0.00913501	-0.00670383	0.00661994	-0.000969246	0.00250934
ILH_Zvejnieki_34.104.210_miss.mrk	0.00207941	0.00150018	-0.0308805	-0.0090592	-0.0194703	0.0122797	0.00648489	-0.0206871	0.0169614	5.5282e-05
ILH_Zvejnieki_34.106.213_miss.mrk	-0.0153581	-0.011617	-0.0011802	0.0245179	-0.00651211	0.0212122	0.00789809	-0.0177609	-0.00419533	-0.0294819
ILH_Zvejnieki_34.107.217.mrk	-0.017864	-0.0150644	0.0118495	0.0137384	-0.000682216	0.00693038	0.000948445	-0.0157806	-0.0121427	0.0016938
ILH_Zvejnieki_34.109.220_miss.mrk	-0.0155235	0.00395715	0.0144232	-0.00377632	0.0205693	-0.016637	0.00158567	-0.000532568	0.00943251	0.0158862
ILH_Zvejnieki_34.110.221_miss.mrk	-0.00553888	-0.0037363	0.0449776	0.00122486	0.020106	0.00411675	-0.0104264	0.0186671	0.0140175	0.0186575
ILH_Zvejnieki_34.111.222_miss.mrk	0.249216	0.00871004	0.0123965	0.00943197	-0.00371616	-0.00683143	-0.00735864	-0.00114497	0.00309944	-0.00704419
ILH_Zvejnieki_34.111.316_miss.mrk	-0.00149731	-0.00415946	-0.0055361	-0.00165459	0.00254434	0.0179706	0.0261852	0.0124522	0.00675576	0.0125328
ILH_Zvejnieki_34.112.317.mrk	0.00244542	-0.0173536	-0.0349254	0.0494096	-0.0291343	0.00440679	0.019661	0.0301405	-0.00753337	-0.0230171
ILH_Zvejnieki_34.115.228.mrk	0.00433532	0.0132392	-0.00381183	-0.013155	0.00956883	0.0154219	0.0133477	0.0330348	0.0234786	0.00395931
ILH_Zvejnieki_34.116.229.mrk	-0.023111	-0.0256041	0.0406447	0.0432918	0.00890598	0.0163508	-0.00155191	0.0117717	-0.00778302	0.00272507
ILH_Zvejnieki_34.117.233_miss_mirror.mrk	0.00393403	-0.00816175	0.0430733	0.00427543	0.0126975	0.00413019	0.0146491	0.00173177	0.0115449	-0.0145519
ILH_Zvejnieki_34.118.234.mrk	-0.0182319	-0.0165848	-0.0252132	0.0182724	-0.00368355	0.00550411	0.0139806	0.00684196	-0.0242474	0.0117559
ILH_Zvejnieki_34.118.328.mrk	-0.00881871	-0.0788815	0.105781	-0.0603222	-0.127406	0.0119551	-0.0100713	-0.000552972	0.0149996	0.0145264
ILH_Zvejnieki_34.119.235_miss.mrk	-0.0145547	-0.00578728	0.00327555	0.0152664	0.00182242	0.0201076	-0.0226569	-0.00511293	0.0121105	0.00116261
ILH_Zvejnieki_34.120.236_miss.mrk	-0.0116207	-0.0226697	-0.00859784	0.0367128	-0.0206259	-0.0453269	-0.0885183	-0.00730289	-0.0417644	-0.00257042
ILH_Zvejnieki_34.122.241_miss_mirror.mrk	-0.0193298	-0.00828453	-0.0154792	0.0456451	0.000164343	0.0132745	0.00202178	-0.0116264	0.0217485	0.00584876
ILH_Zvejnieki_34.124.243_mirror.mrk	0.253884	0.0174945	0.0188629	0.00890653	0.00161327	-0.010115	-0.00450971	0.0335662	0.011666	-0.0137956
ILH_Zvejnieki_34.126.246_miss.mrk	-0.0227905	-0.00209833	-0.0261457	0.0117129	-0.0263272	0.00773474	-0.00871289	-0.018908	0.00635119	0.0105984
ILH_Zvejnieki_34.126.248_miss_mirror.mrk	-0.0192505	-0.0125336	0.0279815	-0.00863148	0.0237771	-0.0174695	-0.00447893	-0.0184925	-0.0106476	-0.00127951
ILH_Zvejnieki_34.127.250_miss.mrk	-0.0248393	0.0110877	-0.0414899	0.00427974	-0.00547052	0.00454113	-0.0228652	0.00887686	0.00213688	0.00214675
ILH_Zvejnieki_34.128.251_miss_mirror.mrk	-0.0192498	-0.010676	0.0126183	0.0180192	0.0205329	0.00654882	-0.0125105	-0.00973627	0.0031058	-0.00839919
ILH_Zvejnieki_34.130.252_miss.mrk	-0.0342299	0.00643111	-0.036444	0.00794889	-0.00280914	0.0133313	-0.033814	0.00533839	0.00393163	0.0171999
ILH_Zvejnieki_34.132.254_miss.mrk	-0.0286192	-0.0152612	-0.0239139	-0.00237029	-0.0118801	0.0489083	0.00122669	-0.00925784	-0.0221479	-0.00631377
ILH_Zvejnieki_34.133.255_miss_mirror.mrk	-0.013038	-0.012354	0.0333658	0.0207567	0.00231404	-0.0280985	0.00447338	0.0205314	0.00470981	0.0262678
ILH_Zvejnieki_34.134.256_miss_mirror.mrk	-0.00595204	-0.0148071	-0.000835788	0.0225187	-0.0282994	0.0155381	0.0188687	-0.0011893	-0.00484345	-0.00758786
ILH_Zvejnieki_34.136.259_miss.mrk	-0.0259307	-0.0128213	-0.0154845	0.00279732	-0.0146158	0.0181753	-0.00412187	-0.016976	-0.00486286	-0.0111756
ILH_Zvejnieki_34.139.263.mrk	-0.0202194	-0.000712358	0.0292413	0.0072957	0.020975	0.0222967	-0.0014632	-0.0132196	-0.0177211	0.00634959
ILH_Zvejnieki_34.14.48_miss.mrk	-0.00833244	-0.0175532	0.0165926	-0.00347552	-0.00332569	-0.0507327	0.0227515	-0.0266591	-0.000261687	-0.00254537
ILH_Zvejnieki_34.141.265_mirror.mrk	-0.0105411	-0.0142662	0.0280123	0.0111112	0.0130273	0.018789	0.026849	0.0272135	-0.021698	0.0137582
ILH_Zvejnieki_34.145.269_miss.mrk	-0.0273087	0.0171104	-0.0234958	-0.0306858	0.00265118	-0.0152369	-0.015308	0.00241774	0.0202454	-0.0113683
ILH_Zvejnieki_34.146.271_miss.mrk	-0.0183069	-0.00926991	0.00151352	-0.0123082	0.00308207	-0.012454	0.0168547	0.014322	-0.0309554	-0.00424854
ILH_Zvejnieki_34.148.274_miss.mrk	-0.0374887	-0.0148407	-0.0180778	0.0250553	-0.000365568	-0.0122742	0.00459519	-0.00845312	0.00381216	-0.00822836
ILH_Zvejnieki_34.148.68_miss.mrk	-0.0149754	-0.0206015	0.0121357	0.00407975	0.0124623	-1.47104e-05	0.0120042	-0.0387082	-0.00479013	-0.0177533
ILH_Zvejnieki_34.150.276.mrk	-0.00972209	-0.00362082	0.000743371	-0.0205438	0.00534224	0.0022255	0.0121546	-0.0113285	0.00399069	0.00156414
ILH_Zvejnieki_34.152.279_miss_mirror.mrk	-0.0125363	0.00810501	-0.00236349	-0.00212122	-0.00563012	0.0112354	0.0106435	0.00886651	0.00686833	-7.96348e-05
ILH_Zvejnieki_34.156.285_mirror.mrk	-0.0234858	0.00317013	-0.00454607	-0.0144019	0.018474	0.0183114	-0.0129477	-0.0021223	0.0156377	-0.0249395
ILH_Zvejnieki_34.161.292_miss_mirror.mrk	-0.013158	0.00605695	-0.0119447	-0.0304608	0.0172748	-0.0339161	0.043224	-0.000984016	0.00223831	-0.0153449
ILH_Zvejnieki_34.163.294.mrk	-0.00611326	0.00472769	0.000329078	-0.00579933	-0.00479216	-0.00114436	0.0112596	0.0125148	-0.00499201	0.0129862
ILH_Zvejnieki_34.165.297_miss_mirror.mrk	0.278537	-0.00810522	-0.0101895	0.00703531	-0.0105183	0.0130699	0.00576863	-0.0126327	-0.0197631	0.00604578
ILH_Zvejnieki_34.166.298.mrk	-0.0193601	0.0144846	-0.0215572	-0.0361044	0.00968705	0.0119075	0.0003309	0.0236547	-0.00278107	0.0064131
ILH_Zvejnieki_34.167.300_mirror.mrk	-0.0219983	-0.00936338	-0.0205636	-0.0452079	0.0013539	-0.0303428	0.0148335	-0.0129903	-0.0267914	-0.00227004
ILH_Zvejnieki_34.172.305.mrk	-0.0140498	0.0023878	-0.0558049	-0.029656	-0.0223314	0.0130286	-0.00606455	0.00789461	-0.00438285	0.00523894
ILH_Zvejnieki_34.173.307_miss_mirror.mrk	-0.0271212	-0.021687	-0.00511849	0.0312843	-0.00833382	0.000455786	0.018272	0.0208532	-0.00850734	-0.000272984
ILH_Zvejnieki_34.173.308_miss_mirror.mrk	-0.0225904	0.00628954	0.0196288	-0.0307683	0.00631252	0.00832927	-0.0097027	0.0128347	-0.00204001	-0.00927733
ILH_Zvejnieki_34.176.105_miss_mirror.mrk	-0.020998	-0.0158898	-0.0184941	-0.0199672	-0.0102471	-0.0182545	0.0280243	0.00894369	-0.0165015	0.0055614
ILH_Zvejnieki_34.19.60_miss_mirror.mrk	-0.0109471	-0.00427811	0.0315847	0.0186062	-0.0226749	-0.00717697	-0.00275398	0.000209335	-0.00354178	-0.0509294
ILH_Zvejnieki_34.22.63_miss.mrk	-0.00442732	0.00323795	-0.0160398	0.0121186	-0.000688896	0.005313	-9.25955e-05	0.0134989	0.00444731	0.012374
ILH_Zvejnieki_34.26.71_miss_mirror.mrk	0.0126003	-0.00247095	0.00148348	-0.00986407	-0.0168138	0.00640641	0.0148767	-0.0219653	-0.00123141	0.00105783
ILH_Zvejnieki_34.29.74_miss_mirror.mrk	-0.0160881	0.00952075	-0.0188005	-0.00250103	0.000607308	0.0211105	-0.0123877	-0.00385574	-0.00593699	-0.0196881
ILH_Zvejnieki_34.3.16.mrk	-0.02129	0.00578373	-0.0385038	-0.028881	-0.0207851	-0.0307741	-0.000173616	0.0134343	-0.00687905	0.00880564
ILH_Zvejnieki_34.30.76_miss_mirror.mrk	-0.0207146	-0.019548	0.0146359	0.0162159	0.00634804	-0.00757338	0.0106163	-0.0121962	0.0101464	-0.0104304
ILH_Zvejnieki_34.36.96_miss_mirror.mrk	0.260462	0.0187891	-0.0360038	-0.00109646	-0.0126703	-0.0226247	-9.72817e-05	-0.0131385	0.00581665	0.0135515
ILH_Zvejnieki_34.43.112_miss_mirror.mrk	0.284368	0.0192458	0.00582442	-0.0172344	0.0205125	0.0217624	-0.00497367	-0.00798543	-0.00507366	-0.00155855
ILH_Zvejnieki_34.44.113_miss.mrk	-0.0164132	0.00529966	-0.00281643	-0.0120978	0.0236821	-0.00198379	-0.0186584	-0.0108058	-0.00437018	-0.00944622
ILH_Zvejnieki_34.46.115_mirror.mrk	-0.0248943	0.00214365	-0.0177043	-0.00845438	0.00657423	0.00630615	0.00405661	0.00543286	-0.00118911	-0.00689071
ILH_Zvejnieki_34.50.121_miss.mrk	-0.00942824	-0.00876713	-0.0230678	-0.00603547	0.00364011	-0.0218735	0.00709414	-0.00867552	0.01723	0.0196049
ILH_Zvejnieki_34.51.122_mirror.mrk	-0.0166476	-0.00510917	-0.00515881	0.0228086	0.0157045	0.00869281	-0.014796	-0.0223431	0.0448927	0.00476269
ILH_Zvejnieki_34.53.124_miss_mirror.mrk	-0.0177441	-0.00373067	0.0278446	-0.00865852	0.0200555	0.00895827	0.000876876	-0.00649826	-0.00480001	-0.00151462
ILH_Zvejnieki_34.56.130_miss.mrk	-0.0278396	0.00566197	-0.00556806	0.00964325	-0.00611823	0.000829985	-0.00758493	0.0166555	0.00298233	-0.00381592
ILH_Zvejnieki_34.58.134.mrk	-0.0211494	-0.00684095	-0.00959181	0.024465	-0.000817074	-0.0220148	-0.0174412	0.0262956	0.0130354	0.0135131
ILH_Zvejnieki_34.59.137_miss_mirror.mrk	-0.016598	-0.0120892	-0.00291188	-0.00732841	-0.00372684	-0.0112325	9.32029e-06	-0.000999504	-0.0086675	-0.00848432
ILH_Zvejnieki_34.6.35_merged_miss_mirror.mrk	-0.0105453	0.00658608	0.00628627	-0.00112589	-0.00789769	-0.01838	0.00899381	0.00863996	0.0243894	-0.0248679
ILH_Zvejnieki_34.61.141_mirror.mrk	-0.0241562	0.0151521	-0.010174	-0.0380468	0.0118876	-0.00887428	-0.0120632	0.0145216	0.0163018	6.72633e-05
ILH_Zvejnieki_34.62.142_miss.mrk	-0.00599878	-0.00519948	0.00988385	-0.00645966	0.00600866	0.0014132	0.00615391	0.00813111	-0.00426373	0.0118613
ILH_Zvejnieki_34.63.146_miss.mrk	-0.0135689	-0.0074055	0.0111678	0.0021458	0.0142967	-0.0263926	0.00673995	0.0122819	0.00398833	-0.0206823
ILH_Zvejnieki_34.66.153.mrk	-0.0127198	-0.0121013	0.00153352	0.0155284	0.00854684	-0.0102528	0.0150381	0.0157224	-0.0286667	0.0143139
ILH_Zvejnieki_34.67.154_miss.mrk	-0.0241313	0.0132096	-0.0223068	0.0207741	-0.00802363	0.0182729	-0.0146821	0.027092	0.0200057	-0.00521564
ILH_Zvejnieki_34.69.157_miss.mrk	-0.0184064	0.0136483	-0.00403977	-0.00546182	-0.00972433	-0.0156065	-0.0108227	0.026335	-0.000968715	-0.0089818
ILH_Zvejnieki_34.71.160.mrk	-0.0140825	0.000530258	0.0397332	0.0102915	0.0235089	-0.00905263	-0.0200527	-0.00847085	0.00251664	0.00197199
ILH_Zvejnieki_34.74.164_mirror.mrk	-0.0150601	-0.00179947	-0.0257749	-0.0155881	-0.00480704	-0.0257486	0.0160078	-0.0263853	0.0246593	0.0015995
ILH_Zvejnieki_34.75.165_miss.mrk	-0.0229034	-0.00563683	0.0221513	-0.0273806	0.0198117	0.0258344	-0.0133334	-0.018417	-0.0158527	4.46322e-05
ILH_Zvejnieki_34.79.170_miss_mirror.mrk	-0.0086095	-0.0158343	0.0283469	0.028436	0.0331451	-0.00687846	0.00044211	0.0071977	0.0153552	0.000555279
ILH_Zvejnieki_34.81.177_miss.mrk	0.004288	-0.0076309	-0.00327653	-0.0326035	0.0141169	0.031098	0.00790075	-0.000954743	0.00328673	-0.0129264
ILH_Zvejnieki_34.83.179.mrk	-0.0191576	-0.00468101	-0.000817923	-0.0074213	0.00914781	0.00756953	-0.00510847	-0.030708	0.0114228	0.0156577
ILH_Zvejnieki_34.84.180_miss_mirror.mrk	-0.029301	0.00397321	-0.00595408	-0.0172628	-0.00954246	0.015939	-0.0047216	0.00633205	-0.0120101	-0.00138264
ILH_Zvejnieki_34.85.181_mirror.mrk	-0.0134342	0.00739285	-0.0137854	-0.0259881	0.0122375	0.00112251	-0.00251761	-0.00426756	-0.00844953	0.013997
ILH_Zvejnieki_34.88.184_miss.mrk	-0.0131023	-0.00467912	-0.0199833	0.00593552	0.0138679	0.0296263	0.00632353	-0.00964423	-0.0059139	0.0217554
ILH_Zvejnieki_34.89.185_miss_mirror.mrk	-0.0159379	-0.00283442	-0.00244259	-0.0453411	0.0227096	0.0126982	-0.00345122	-0.0139634	-0.00900554	0.00657501
ILH_Zvejnieki_34.95.197_miss.mrk	-0.0184744	0.0125522	0.031791	-0.0229682	0.0300412	0.00578332	-0.0188308	0.0373847	-0.0118756	-0.0123239
