specimen,box,burial,culture,period,labcode,14C,±,status,d13C,d15N,C:N,,,,,,,
ILH_Zvejnieki_34.1.9,34-1,9,Kunda,MM,OxA-40899,7281,27,UNPUBLISHED,-23.9,12.8,3.3,,,,,,,
,34-2,10,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.3.16,34-3,16,Narva,LM/EN,OxA-43281,6300,24,UNPUBLISHED,-23.9,10.32,3.51,,,,,,,
,34-4,18,,,,,,,,,,,,,,,,
,34-5,33,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.6.35,34-6,35,Narva,LM/EN,OxA-44216,6702,27,UNPUBLISHED,-24,12.2,3.4,,,,,,,
,34-7,36,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.8.37,34-8,37,Narva,LM/EN,OxA-40912,6901,27,UNPUBLISHED,-23.8,12.7,3.3,,,,,,,
,34-9,37,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.10.39,34-10,39,Kunda/Narva,MM,Ua-3635,6775,55,PUBLISHED,-23.6,10.7,3.6,,,,,,,
,34-11,40,,,,,,,,,,,,,,,,
,34-12,42,,,,,,,,,,,,,,,,
,34-13,42,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.UNK.47,UNK,47,Kunda/Narva,LM,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.14.48,34-14,48,Kunda,MM,OxA-41073,6657,25,UNPUBLISHED,-21.8,7.4,3.4,,,,,,,
,34-14,49,,,,,,UNPUBLISHED,,,,,,,,,,
,34-15,52,,,,,,,,,,,,,,,,
,34-16,54,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.17.56,34-17,56,Kunda,MM,OxA-40900,7161,27,UNPUBLISHED,-21.4,9.9,3.2,,,,,,,
,34-7,57,,,,,,,,,,,,,,,,
,34-18,58,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.19.60,34-19,60,Kunda/Narva,LM,NO DATE,,,,,,,,,,,,,
,34-20,61,,,,,,,,,,,,,,,,
,34-21,62,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.22.63,34-22,63,Kunda/Narva,MM,OxA-45225,6808,28,UNPUBLISHED,-23.19,11.97,3.34,,,,,,,
ILH_Zvejnieki_34.23.64,34-23,64,Kunda/Narva,LM,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.148.68,34-148,68,Kunda/Narva,LM,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.26.71,34-26,71,Kunda,MM,OxA-41068,7057,26,UNPUBLISHED,-24.2,10.6,3.3,,,,,,,
,34-27,72,,,,,,,,,,,,,,,,
,34-28,73,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.29.74,34-29,74,Kunda,MM,KIA-51362,7165,30,PUBLISHED,-22.9,10.8,3.3,,,,,,,
ILH_Zvejnieki_34.30.76,34-30,76,Kunda,MM,Ua-4688,6900,75,PUBLISHED,-21.6,10.9,,,,,,,,
,34-31,77,,,,,,,,,,,,,,,,
,34-15,83,,,,,,,,,,,,,,,,
,34-32,85,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.33.92,34-33,92,Narva,LM/EN,Hela-1211,6510,50,PUBLISHED,-22.9,12,3.3,,,,,,,
,34-34,93,,,,,,,,,,,,,,,,
,34-35,95,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.36.96,34-36,96,Comb Ware,MN,OxA-40901,5598,24,,-23.4,12.8,3.2,,,,,,,
,34-37,97,,,,,,,,,,,,,,,,
,34-38,98,,,,,,,,,,,,,,,,
,34-39,100,,,,,,,,,,,,,,,,
,34-40,102,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.176.105,34-176,105,,,NO DATE,,,,,,,,,,,,,
,34-41,108,,,,,,,,,,,,,,,,
